buyer_county,year,prescription_rate,total_prescriptions,opioids_supplied_per_capita,high_school_graduate_includes_equivalency,some_college_or_associates_degree,bachelors_degree,graduate_or_professional_degree,median_household_income,dosage_unit,potential_pills_per_prescription,population,blind_and_disability_perc,unemployment_rate_bls,gdp_2020_dollars,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races!!two_races_including_some_other_race,"two_or_more_races!!two_races_excluding_some_other_race,_and_three_or_more_races",male_perc,up_to_18,from_18_to_34,from_35_to_59_years,opioid_visit_count
Atlantic,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264403,NA,NA,12554870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bergen,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891237,NA,NA,55445856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burlington,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436706,NA,NA,20197936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camden,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507843,NA,NA,19708199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cape May,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96630,NA,NA,4444180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139968,NA,NA,5150385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Essex,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769628,NA,NA,43897642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gloucester,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271709,NA,NA,9815555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hudson,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594071,NA,NA,32336887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunterdon,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126116,NA,NA,5841574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercer,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345118,NA,NA,22666279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middlesex,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768696,NA,NA,44154639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monmouth,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625874,NA,NA,27213090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morris,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481139,NA,NA,39334963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550447,NA,NA,14321056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passaic,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487756,NA,NA,18272859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salem,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65124,NA,NA,5043343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somerset,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314960,NA,NA,24050460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sussex,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151443,NA,NA,3731614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523649,NA,NA,28954483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Warren,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108910,NA,NA,3637949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic,2006,84.8,230333.75999999998,32.32743170605994,36.37605380626902,25.89727198719315,16.637982374185228,6.898435749916679,61522.778528021605,8780777,38.121971351485776,271620,1.6725572490980045,5.8,13850011,65.60047124659451,16.402694941462336,0.08136366983285472,6.621014652823797,0.01472645607834474,10.060746631323171,1.2189824018849864,0.1461600765775716,1.0728223253074147,48.351005080627345,37.42553083150873,18.202301542848414,31.31842252660522,NA
Bergen,2006,46.3,418569.131,14.065859030106068,25.552765056384494,22.02847579970041,26.884262061231073,15.805133141757889,89346.43450371371,12716057,30.379825119019586,904037,0.6438895753160545,3.9,57087958,74.40005221025245,5.697111954488589,0.12676472312527032,13.86812707886956,0.0159285515968926,4.499594596238871,1.3924208854283615,0.4233233816757499,0.9690975037526118,48.540269922580606,35.69250385983239,16.40332752118107,32.94357347507815,NA
Burlington,2006,59.3,267221.811,22.643363580078425,31.323830639532808,27.159287525198582,21.072347940127187,10.1258549665155,80204.5948683322,10203711,38.184424249710666,450627,0.922714351337137,4.2,21332908,74.65109724894425,16.28087087546907,0.10252381681523744,3.995987812536754,0.01287095535775708,2.8637875671009505,2.0928617237759832,0.33286953511440726,1.759992188661576,49.24960111134042,35.73885111744209,19.53054947050611,31.278541404189795,NA
Camden,2006,85.3,441001.853,33.31799938491415,31.88140545598461,24.492197959670087,17.241287991360817,9.672587958699062,67038.97940580688,17225439,39.05978825898494,517001,2.304444285407572,5.3,20805254,66.75286894996336,18.81098876017648,0.26789116462057133,4.601345065096586,0.03404248734528559,7.677741435703219,1.8551221370945128,0.5096701940615201,1.3454519430329923,48.47050585975656,38.87679178059491,18.903305990554312,29.90703455132985,NA
Cape May,2006,93.1,90981.044,34.13653759567762,37.0402642119317,23.067950249455414,18.12521959103366,8.974773382053264,58924.28629304524,3335959,36.66652802972892,97724,1.3988375424665382,7,4668984,90.66452457942778,6.104948630837869,0.16065654291678605,0.3714542998649257,0,1.4551184969915272,1.2432974499611151,0.4103393229912816,0.8329581269698334,47.44996111497687,32.58112337341459,16.945771335492964,29.08362158897491,NA
Cumberland,2006,85.2,131909.196,27.297268493699256,38.9223411876319,21.777769172684856,9.282851555693238,2.5789463493968907,55884.07393652937,4226245,32.03904752781603,154823,2.7993256815847776,7,5431622,67.07788894414912,20.371650207010585,0.890694535049702,1.1096542503374822,0,8.855273441284565,1.694838622168541,0.6116662253024422,1.083172396866099,51.63896837033257,35.9258791058298,21.807513220824642,31.42026420580241,NA
